date,선크림,썬크림,자외선차단제,year,month,season
2020-02-01,35.78788,21.17395,3.64236,2020,2,겨울
2020-03-01,48.44557,31.84541,5.53746,2020,3,기타
2020-04-01,56.44166,39.51805,7.11578,2020,4,기타
2020-05-01,69.26163,49.36255,7.9683,2020,5,기타
2020-06-01,75.6216,55.22235,8.40956,2020,6,여름
2020-07-01,49.04467,33.69493,6.27216,2020,7,여름
2020-08-01,42.0078,27.67508,4.98616,2020,8,여름
2020-09-01,26.139,17.1459,5.38407,2020,9,기타
2020-10-01,27.24049,18.5386,3.7235,2020,10,기타
2020-11-01,25.38429,16.20224,3.00103,2020,11,기타
2020-12-01,23.87711,15.4731,2.78762,2020,12,겨울
2021-01-01,31.58198,18.82426,3.18998,2021,1,겨울
2021-02-01,33.34037,21.95645,3.39672,2021,2,겨울
2021-03-01,50.94866,40.00377,5.49967,2021,3,기타
2021-04-01,85.50056,62.75717,9.85117,2021,4,기타
2021-05-01,89.92097,62.86276,8.20171,2021,5,기타
2021-06-01,90.79016,70.36201,9.30431,2021,6,여름
2021-07-01,77.98797,63.09617,7.18691,2021,7,여름
2021-08-01,40.6351,28.28974,4.78164,2021,8,여름
2021-09-01,28.38644,18.44524,5.24847,2021,9,기타
2021-10-01,34.38073,19.64676,4.0425,2021,10,기타
2021-11-01,31.33412,17.80279,3.34226,2021,11,기타
2021-12-01,25.10642,16.50457,2.50641,2021,12,겨울
2022-01-01,29.39568,19.15326,3.59901,2022,1,겨울
2022-02-01,38.52549,25.59103,4.10474,2022,2,겨울
2022-03-01,50.91309,35.99906,6.30661,2022,3,기타
2022-04-01,77.20659,57.60206,9.5066,2022,4,기타
2022-05-01,100.0,74.9158,13.23122,2022,5,기타
2022-06-01,70.82439,52.81041,9.93675,2022,6,여름
2022-07-01,67.11867,52.81041,11.74515,2022,7,여름
2022-08-01,45.5379,29.57796,5.87424,2022,8,여름
2022-09-01,44.17299,31.07403,5.98539,2022,9,기타
2022-10-01,42.40905,23.40028,3.67682,2022,10,기타
2022-11-01,50.76859,21.46183,3.55344,2022,11,기타
2022-12-01,29.22562,18.45524,3.1044,2022,12,겨울
2023-01-01,36.82824,22.58889,3.44674,2023,1,겨울
2023-02-01,43.41384,29.12114,4.71051,2023,2,겨울
2023-03-01,65.48255,50.82861,8.04054,2023,3,기타
2023-04-01,67.58883,54.97337,8.01942,2023,4,기타
2023-05-01,90.70457,71.56909,11.06047,2023,5,기타
2023-06-01,80.00866,62.33702,8.84749,2023,6,여름
2023-07-01,65.99161,48.34998,6.3633,2023,7,여름
2023-08-01,54.48654,42.06115,4.96393,2023,8,여름
2023-09-01,31.19518,24.9497,2.96657,2023,9,기타
2023-10-01,33.1014,25.07196,3.59123,2023,10,기타
2023-11-01,28.17414,21.07725,3.08106,2023,11,기타
2023-12-01,26.15789,18.44746,2.49974,2023,12,겨울
2024-01-01,29.30787,22.82119,2.7954,2024,1,겨울
2024-02-01,32.74461,23.97047,2.92656,2024,2,겨울
2024-03-01,48.19771,36.2158,5.09286,2024,3,기타
2024-04-01,69.14381,52.30468,6.56559,2024,4,기타
2024-05-01,78.02131,59.49827,16.0922,2024,5,기타
2024-06-01,76.51524,59.06367,7.96051,2024,6,여름
2024-07-01,57.81435,42.28234,5.08953,2024,7,여름
2024-08-01,53.67404,38.68665,4.22478,2024,8,여름
2024-09-01,34.80532,25.10531,2.8821,2024,9,기타
2024-10-01,29.84805,21.44405,3.02659,2024,10,기타
2024-11-01,26.31795,19.7279,2.66647,2024,11,기타
2024-12-01,23.95602,17.22482,1.99957,2024,12,겨울
2025-01-01,25.20201,17.3004,2.11406,2025,1,겨울
2025-02-01,30.08147,21.35179,2.73094,2025,2,겨울
